rank,qwwords,length_x,qwerty,qw_dpl,qw_dpj,dvwords,length_y,dvorak,dv_dpl,dv_dpj,cowords,length_x,colemak,co_dpl,co_dpj,wowords,length_y,workman,wo_dpl,wo_dpj
6,ADDRESSERS,10,186.03,18.603,20.67,BEEKEEPERS,10,327.31,32.731,36.368,CARRAGHEEN,10,250.96,25.096,27.884,POLLENLESS,10,251.23,25.123,27.914
7,BUTTRESSED,10,188.39,18.839,20.932,SHEEPIFIED,10,330.52,33.052,36.724,ENLINKMENT,10,261.55,26.155,29.061,UNKNEELING,10,253.3,25.33,28.144
8,BUTTRESSES,10,192.56,19.256,21.396,RIGIDIFIED,10,331.7,33.17,36.856,UNIMMINENT,10,263.94,26.394,29.327,UNEFFENESS,10,256.24,25.624,28.471
9,REASSERTED,10,196.15,19.615,21.794,OPHIDIIDAE,10,331.78,33.178,36.864,MEDDLEMENT,10,266.14,26.614,29.571,UNOPENNESS,10,257.76,25.776,28.64
10,DESTRESSED,10,204.55,20.455,22.728,BOOKKEEPER,10,332.25,33.225,36.917,STAATSRAAD,10,266.7,26.67,29.633,POLLENLIKE,10,270.6,27.06,30.067
11,EFFECTRESS,10,208.51,20.851,23.168,HIPPOGRIFF,10,335.3,33.53,37.256,UNDULLNESS,10,270.64,27.064,30.071,GRASSWARDS,10,275.59,27.559,30.621
12,BUTTERWEED,10,216.97,21.697,24.108,THUMBIKINS,10,336.78,33.678,37.42,EMBLEMENTS,10,272.67,27.267,30.297,STEENBRASS,10,275.81,27.581,30.646
13,WARDRESSES,10,217.65,21.765,24.183,QUEENRIGHT,10,338.35,33.835,37.594,STEENBRASS,10,275.13,27.513,30.57,STAATSRAAD,10,276.52,27.652,30.724
14,INTERESSEE,10,219.38,21.938,24.376,STICHIDIUM,10,339.39,33.939,37.71,SULLENNESS,10,275.36,27.536,30.596,LENGTHSMEN,10,276.81,27.681,30.757
15,HUNTRESSES,10,222.37,22.237,24.708,JOYPOPPING,10,339.53,33.953,37.726,SPLEENLESS,10,275.88,27.588,30.653,UNKENNELED,10,280.73,28.073,31.192
