distance,qwerty,dvorak,colemak,workman
50.63,VE,K.,VF,CR
40.69,VR,KP,VP,CW
38.4,VT,KY,VG,CB
44.93,VY,KF,VJ,CJ
57.35,VU,KG,VL,CF
72.7,VI,KC,VU,CU
89.48,VO,KR,VY,CP
107.02,VP,KL,V;,C;
69.34,VA,KA,VA,CA
51.29,VS,KO,VR,CS
34.34,VD,KE,VS,CH
21.3,VF,KU,VT,CT
21.3,VG,KI,VD,CG
34.34,VH,KD,VH,CY
51.29,VJ,KH,VN,CN
69.34,VK,KT,VE,CE
87.82,VL,KN,VI,CO
106.49,V;,KS,VO,CI
57.15,VZ,K;,VZ,CZ
38.1,VX,KQ,VX,CX
19.05,VC,KJ,VC,CM
0.0,VV,KK,VV,CC
19.05,VB,KX,VB,CV
38.1,VN,KB,VK,CK
57.15,VM,KM,VM,CL
76.2,"V,",KW,"V,","C,"
95.25,V.,KV,V.,C.
114.3,V/,KZ,V/,C/
98.18,BQ,X',BQ,VQ
80.96,BW,"X,",BW,VD
64.78,BE,X.,BF,VR
50.63,BR,XP,BP,VW
40.69,BT,XY,BG,VB
38.4,BY,XF,BJ,VJ
44.93,BU,XG,BL,VF
57.35,BI,XC,BU,VU
72.7,BO,XR,BY,VP
89.48,BP,XL,B;,V;
87.82,BA,XA,BA,VA
69.34,BS,XO,BR,VS
51.29,BD,XE,BS,VH
34.34,BF,XU,BT,VT
21.3,BG,XI,BD,VG
21.3,BH,XD,BH,VY
34.34,BJ,XH,BN,VN
51.29,BK,XT,BE,VE
69.34,BL,XN,BI,VO
87.82,B;,XS,BO,VI
76.2,BZ,X;,BZ,VZ
57.15,BX,XQ,BX,VX
38.1,BC,XJ,BC,VM
19.05,BV,XK,BV,VC
0.0,BB,XX,BB,VV
19.05,BN,XB,BK,VK
38.1,BM,XM,BM,VL
57.15,"B,",XW,"B,","V,"
76.2,B.,XV,B.,V.
95.25,B/,XZ,B/,V/
115.97,NQ,B',KQ,KQ
98.18,NW,"B,",KW,KD
80.96,NE,B.,KF,KR
64.78,NR,BP,KP,KW
50.63,NT,BY,KG,KB
40.69,NY,BF,KJ,KJ
38.4,NU,BG,KL,KF
44.93,NI,BC,KU,KU
57.35,NO,BR,KY,KP
72.7,NP,BL,K;,K;
106.49,NA,BA,KA,KA
87.82,NS,BO,KR,KS
69.34,ND,BE,KS,KH
51.29,NF,BU,KT,KT
34.34,NG,BI,KD,KG
21.3,NH,BD,KH,KY
21.3,NJ,BH,KN,KN
34.34,NK,BT,KE,KE
51.29,NL,BN,KI,KO
69.34,N;,BS,KO,KI
95.25,NZ,B;,KZ,KZ
76.2,NX,BQ,KX,KX
57.15,NC,BJ,KC,KM
38.1,NV,BK,KV,KC
19.05,NB,BX,KB,KV
0.0,NN,BB,KK,KK
19.05,NM,BM,KM,KL
38.1,"N,",BW,"K,","K,"
57.15,N.,BV,K.,K.
76.2,N/,BZ,K/,K/
134.11,MQ,M',MQ,LQ
115.97,MW,"M,",MW,LD
98.18,ME,M.,MF,LR
80.96,MR,MP,MP,LW
64.78,MT,MY,MG,LB
50.63,MY,MF,MJ,LJ
40.69,MU,MG,ML,LF
38.4,MI,MC,MU,LU
44.93,MO,MR,MY,LP
57.35,MP,ML,M;,L;
125.28,MA,MA,MA,LA
106.49,MS,MO,MR,LS
87.82,MD,ME,MS,LH
69.34,MF,MU,MT,LT
51.29,MG,MI,MD,LG
34.34,MH,MD,MH,LY
21.3,MJ,MH,MN,LN
21.3,MK,MT,ME,LE
34.34,ML,MN,MI,LO
51.29,M;,MS,MO,LI
114.3,MZ,M;,MZ,LZ
95.25,MX,MQ,MX,LX
76.2,MC,MJ,MC,LM
57.15,MV,MK,MV,LC
38.1,MB,MX,MB,LV
19.05,MN,MB,MK,LK
0.0,MM,MM,MM,LL
19.05,"M,",MW,"M,","L,"
38.1,M.,MV,M.,L.
57.15,M/,MZ,M/,L/
152.47,",Q",W',",Q",",Q"
134.11,",W","W,",",W",",D"
115.97,",E",W.,",F",",R"
98.18,",R",WP,",P",",W"
80.96,",T",WY,",G",",B"
64.78,",Y",WF,",J",",J"
50.63,",U",WG,",L",",F"
40.69,",I",WC,",U",",U"
38.4,",O",WR,",Y",",P"
44.93,",P",WL,",;",",;"
144.14,",A",WA,",A",",A"
125.28,",S",WO,",R",",S"
106.49,",D",WE,",S",",H"
87.82,",F",WU,",T",",T"
69.34,",G",WI,",D",",G"
51.29,",H",WD,",H",",Y"
34.34,",J",WH,",N",",N"
21.3,",K",WT,",E",",E"
21.3,",L",WN,",I",",O"
34.34,",;",WS,",O",",I"
133.35,",Z",W;,",Z",",Z"
114.3,",X",WQ,",X",",X"
95.25,",C",WJ,",C",",M"
76.2,",V",WK,",V",",C"
